APPL,438000000,1.06
AMZN,498000000,0.00
ZM,111800000,0.00
AMZN,2350.03,350,0
AMZN,2397.58,150,1
AMZN,2386.43,50,1
AMZN,2344.75,50,0
APPL,281.89,275,1
APPL,282.16,125,1
ZM,161.96,300,1
APPL,282.31,175,0
AMZN,2348.71,800,1
APPL,279.82,125,1
ZM,157.32,475,1
ZM,159.26,350,1
APPL,283.27,325,1
APPL,283.34,275,1
APPL,278.0,175,0
ZM,157.22,250,1
AMZN,2387.61,200,0
APPL,280.78,125,1
AMZN,2387.99,100,0
APPL,278.53,225,0
ZM,164.14,400,0
AMZN,2348.19,150,1
APPL,280.17,50,0
AMZN,2350.53,350,1
ZM,157.37,250,1
AMZN,2394.47,700,0
ZM,158.8,325,1
ZM,156.79,50,0
ZM,159.6,300,1
ZM,156.77,125,0
ZM,164.34,175,1
APPL,280.66,450,0
AMZN,2368.51,150,1
APPL,280.84,475,0
AMZN,2343.95,400,1
ZM,159.78,350,1
APPL,278.63,375,0
ZM,160.69,325,1
ZM,162.88,425,0
ZM,160.06,325,0
ZM,163.04,200,1
ZM,158.65,325,1
AMZN,2412.3,550,0
ZM,158.23,375,0
APPL,286.68,0,1
ZM,160.68,325,1
ZM,162.28,0,0
ZM,163.79,300,1
AMZN,2368.79,750,1
AMZN,2358.34,650,1
ZM,162.45,375,1
ZM,160.82,150,1
ZM,161.49,400,0
AMZN,2395.53,800,1
ZM,157.94,150,1
AMZN,2400.51,350,1
APPL,287.65,75,1
APPL,285.17,325,1
ZM,158.54,75,0
AMZN,2394.03,100,0
AMZN,2354.26,800,0
AMZN,2397.69,700,0
APPL,286.77,200,1
AMZN,2348.51,600,1
APPL,284.66,475,1
ZM,162.71,450,1
APPL,286.23,175,1
ZM,161.84,0,1
ZM,159.82,200,0
AMZN,2356.55,600,0
ZM,160.89,75,0
ZM,156.75,0,1
APPL,277.89,450,0
AMZN,2413.16,250,0
ZM,162.64,0,0
ZM,160.32,275,1
ZM,157.02,25,1
APPL,278.03,150,0
APPL,279.6,275,1
AMZN,2353.26,700,1
APPL,279.1,150,1
ZM,160.84,475,0
ZM,160.13,350,1
ZM,157.62,75,0
ZM,161.23,375,0
AMZN,2387.65,400,0
AMZN,2364.26,100,0
AMZN,2347.74,650,0
ZM,164.4,0,0
AMZN,2407.57,700,1
ZM,161.86,100,1
APPL,287.66,475,1
APPL,285.84,475,1
ZM,162.12,300,1
AMZN,2367.96,650,1
ZM,162.47,25,0
ZM,162.6,200,0
ZM,162.53,100,0
AMZN,2393.82,950,0
APPL,278.67,200,1
AMZN,2413.45,350,0
ZM,157.15,300,1
ZM,162.3,425,1
APPL,283.38,75,1
APPL,284.71,475,1
ZM,162.01,125,1
APPL,284.11,250,1
AMZN,2407.83,650,1
ZM,161.0,100,1
APPL,285.01,350,1
AMZN,2412.21,750,1
APPL,278.05,150,0
APPL,282.86,375,1
APPL,286.29,475,0
APPL,279.59,475,1
AMZN,2395.93,750,0
AMZN,2404.37,900,1
ZM,155.62,125,1
APPL,280.2,200,1
ZM,158.75,150,0
AMZN,2380.11,600,0
AMZN,2349.31,300,1
AMZN,2352.49,800,1
APPL,282.06,0,0
APPL,278.36,200,1
ZM,160.31,250,0
ZM,158.69,225,0
AMZN,2386.65,650,0
ZM,155.78,475,0
APPL,280.64,350,1
AMZN,2395.65,950,1
ZM,160.14,25,0
APPL,279.93,350,0
AMZN,2362.2,300,1
ZM,160.04,400,1
ZM,157.76,425,1
APPL,278.31,125,1
APPL,280.3,425,1
APPL,279.47,250,0
APPL,280.32,50,1
AMZN,2358.44,700,1
APPL,282.31,200,0
APPL,280.34,0,0
ZM,155.9,275,0
APPL,284.68,375,1
APPL,281.19,375,1
ZM,159.73,50,1
ZM,158.0,350,1
AMZN,2401.38,600,0
APPL,284.32,325,1
AMZN,2345.97,450,1
ZM,161.46,300,0
AMZN,2339.8,450,0
ZM,158.69,200,0
ZM,163.77,200,0
APPL,279.46,50,1
ZM,156.23,300,1
APPL,284.52,250,1
APPL,286.71,25,1
ZM,163.39,475,0
ZM,160.82,350,0
AMZN,2343.71,700,1
AMZN,2380.64,100,1
AMZN,2369.29,400,0
AMZN,2344.81,800,0
AMZN,2342.41,850,1
APPL,285.43,400,1
APPL,281.96,200,0
ZM,157.01,125,1
AMZN,2336.43,700,1
ZM,164.48,350,1
ZM,161.51,25,0
ZM,161.83,350,0
APPL,281.76,25,0
ZM,156.47,200,1
ZM,159.85,325,1
APPL,280.04,450,1
ZM,162.85,125,1
AMZN,2406.92,200,0
ZM,158.85,250,1
ZM,161.97,50,1
AMZN,2404.45,250,0
ZM,162.43,100,0
AMZN,2383.1,400,0
APPL,286.24,125,1
ZM,160.93,25,1
AMZN,2359.26,700,1
APPL,280.22,400,0
ZM,162.11,325,1
APPL,281.81,350,0
ZM,159.15,25,1
AMZN,2347.76,50,1
AMZN,2360.53,100,1
APPL,286.72,275,0
APPL,283.51,450,1
APPL,285.8,225,1
ZM,156.18,150,1
APPL,285.84,275,0
APPL,279.91,200,0
ZM,160.32,75,0
APPL,278.74,375,0
AMZN,2394.27,950,1
APPL,284.28,100,1
AMZN,2354.35,150,0
APPL,282.66,125,0
ZM,156.17,25,1
AMZN,2392.23,250,0
AMZN,2402.0,200,1
AMZN,2398.74,600,1
AMZN,2405.48,50,0
ZM,155.79,475,0
ZM,164.18,300,0
ZM,162.75,275,0
APPL,278.33,225,0
AMZN,2337.72,100,1
ZM,162.74,250,0
APPL,282.96,250,1
APPL,286.88,475,0
ZM,164.37,400,0
ZM,155.64,250,1
AMZN,2389.31,150,0
ZM,157.74,450,1
ZM,159.43,400,1
AMZN,2408.63,900,0
ZM,156.11,475,0
ZM,160.37,350,0
AMZN,2355.97,350,0
ZM,161.64,275,1
APPL,284.68,375,0
APPL,286.64,150,0
APPL,282.42,425,1
ZM,159.21,325,0
ZM,162.03,275,0
ZM,163.67,200,0
AMZN,2356.26,550,1
ZM,156.97,200,0
APPL,281.52,350,1
APPL,279.03,200,1
AMZN,2401.36,800,1
ZM,159.5,400,1
ZM,162.41,125,1
APPL,278.96,25,0
APPL,283.88,25,1
AMZN,2399.9,700,0
ZM,162.47,175,1
AMZN,2408.62,400,0
ZM,159.61,275,1
ZM,163.11,50,0
APPL,283.42,50,1
APPL,283.04,100,0
APPL,280.61,125,1
ZM,158.34,450,0
AMZN,2397.61,0,1
ZM,159.92,200,0
ZM,162.63,475,0
APPL,282.42,450,0
APPL,281.17,25,1
APPL,286.32,100,1
APPL,283.23,275,0
APPL,280.51,50,1
ZM,156.52,200,1
APPL,282.7,275,0
APPL,282.47,50,1
APPL,283.86,100,0
ZM,156.82,200,1
AMZN,2345.31,700,1
APPL,279.91,175,1
AMZN,2406.23,550,0
ZM,164.24,450,0
AMZN,2386.35,450,0
APPL,283.84,400,0
AMZN,2375.83,200,1
ZM,159.75,225,0
AMZN,2377.63,150,1
ZM,156.36,425,1
APPL,287.27,0,1
APPL,284.74,75,1
AMZN,2343.91,400,0
AMZN,2404.72,550,0
AMZN,2395.51,50,0
AMZN,2407.68,700,1
AMZN,2410.61,200,1
ZM,161.98,425,1
ZM,156.55,25,1
APPL,278.96,175,0
ZM,155.76,350,0
ZM,164.21,350,1
ZM,156.28,425,0
ZM,164.14,475,0
AMZN,2339.15,700,0
AMZN,2337.13,950,0
ZM,161.11,475,1
APPL,286.35,175,1
ZM,158.13,125,1
ZM,159.41,225,1
ZM,160.6,375,1
ZM,156.57,300,1
ZM,160.3,200,1
APPL,286.42,400,1
AMZN,2362.45,400,1
APPL,281.57,0,1
AMZN,2338.73,100,1
ZM,163.54,350,0
ZM,161.55,450,1
AMZN,2352.73,0,1
AMZN,2341.25,700,0
AMZN,2367.22,150,0
ZM,164.05,125,1
AMZN,2339.63,900,0
ZM,157.98,175,1
APPL,286.83,25,0
ZM,158.12,125,1
APPL,286.76,350,1
AMZN,2349.45,450,1
AMZN,2361.35,400,1
ZM,161.19,425,1
APPL,282.6,225,0
ZM,156.2,150,0
AMZN,2368.14,450,0
ZM,160.14,275,0
AMZN,2388.12,750,0
ZM,157.2,100,0
ZM,159.45,300,1
AMZN,2357.22,250,0
APPL,278.16,175,1
ZM,163.8,350,1
ZM,161.42,200,0
APPL,278.15,150,1
AMZN,2368.81,650,0
ZM,161.39,150,0
AMZN,2358.45,300,1
APPL,287.41,100,1
AMZN,2391.64,0,1
AMZN,2355.0,50,1
AMZN,2358.48,500,1
AMZN,2342.31,850,1
AMZN,2350.27,900,1
AMZN,2391.22,500,0
ZM,157.0,375,0
ZM,159.1,350,1
AMZN,2362.23,400,1
AMZN,2339.76,300,1
AMZN,2383.9,500,1
AMZN,2337.68,150,1
APPL,279.28,150,1
ZM,158.82,225,0
AMZN,2385.45,300,0
ZM,163.4,350,1
APPL,282.9,100,0
APPL,280.64,250,1
ZM,159.67,275,1
ZM,161.31,300,0
APPL,287.09,0,0
ZM,157.03,300,0
ZM,156.72,325,1
AMZN,2380.4,850,1
APPL,283.23,425,1
ZM,161.35,300,1
ZM,160.24,275,1
AMZN,2376.98,250,1
APPL,278.53,225,1
AMZN,2363.7,0,1
AMZN,2380.82,300,0
ZM,156.03,275,1
AMZN,2340.15,750,1
ZM,157.71,175,1
APPL,280.05,75,0
ZM,159.06,225,1
APPL,283.89,450,0
ZM,158.23,100,0
ZM,157.58,150,1
ZM,156.65,50,0
AMZN,2335.35,900,0
APPL,278.12,400,1
APPL,287.07,125,0
ZM,161.88,200,0
ZM,158.25,350,1
ZM,160.58,275,1
AMZN,2407.4,600,0
AMZN,2386.93,600,0
AMZN,2351.22,0,1
APPL,279.53,150,1
AMZN,2340.74,200,1
APPL,277.87,300,0
AMZN,2397.85,650,1
APPL,281.61,100,1
APPL,286.01,150,0
AMZN,2338.36,350,1
APPL,281.51,300,1
ZM,163.89,100,0
ZM,160.02,475,1
AMZN,2356.46,800,1
AMZN,2345.99,900,1
AMZN,2366.06,550,1
ZM,163.39,350,1
APPL,277.92,100,1
ZM,161.79,100,1
APPL,279.46,375,1
AMZN,2346.69,900,0
ZM,161.86,50,1
ZM,158.85,50,0
AMZN,2345.36,350,1
APPL,286.33,150,1
AMZN,2388.14,700,0
APPL,284.62,100,1
ZM,157.47,275,1
APPL,285.92,475,0
APPL,287.36,450,0
ZM,157.56,50,0
APPL,283.67,375,0
AMZN,2339.14,450,1
AMZN,2369.9,50,0
AMZN,2368.81,150,0
APPL,279.93,200,0
ZM,160.35,50,0
AMZN,2367.97,950,0
APPL,285.94,400,0
ZM,160.6,275,0
ZM,158.0,475,0
ZM,160.47,250,0
APPL,282.3,125,0
APPL,284.85,50,0
ZM,159.34,400,0
ZM,160.33,375,0
ZM,163.21,350,0
AMZN,2404.32,100,0
AMZN,2386.04,0,1
ZM,160.2,375,1
AMZN,2407.6,750,0
APPL,282.51,175,0
AMZN,2374.82,550,0
AMZN,2408.38,800,0
AMZN,2389.63,200,0
ZM,160.25,375,0
AMZN,2392.28,450,1
APPL,287.55,250,0
AMZN,2356.0,400,1
APPL,281.98,225,0
APPL,283.06,0,1
ZM,163.54,75,0
ZM,159.47,350,0
AMZN,2402.88,300,0
ZM,160.8,100,0
AMZN,2412.95,200,0
ZM,157.16,0,1
ZM,163.03,50,1
ZM,161.75,375,1
AMZN,2359.7,850,0
ZM,158.42,175,1
APPL,282.46,25,1
AMZN,2412.4,200,1
AMZN,2339.13,750,0
AMZN,2410.93,750,1
ZM,157.82,150,1
APPL,281.36,50,0
APPL,282.94,425,0
AMZN,2366.49,350,1
AMZN,2335.46,50,0
ZM,163.41,375,1
AMZN,2337.77,250,1
AMZN,2338.77,450,0
AMZN,2396.07,50,1
APPL,282.75,125,0
APPL,284.85,0,0
APPL,284.77,325,0
ZM,158.82,400,1
AMZN,2389.77,700,0
APPL,286.95,100,1
AMZN,2395.5,850,1
ZM,158.89,375,0
APPL,283.09,375,1
APPL,284.19,225,1
APPL,281.35,225,1
ZM,159.56,375,1
APPL,279.83,175,1
ZM,158.36,275,0
AMZN,2359.34,0,1
AMZN,2361.88,650,0
AMZN,2372.38,150,1
ZM,160.74,250,0
AMZN,2372.69,350,1
APPL,278.02,75,1
APPL,281.02,250,0
ZM,156.9,425,0
ZM,155.59,350,1
APPL,286.73,475,1
ZM,158.52,400,0
AMZN,2359.98,0,0
APPL,283.92,250,0
AMZN,2413.02,850,1
ZM,163.77,175,0
APPL,285.44,450,0
APPL,278.54,50,1
APPL,282.44,250,0
APPL,287.31,425,0
ZM,156.52,400,1
ZM,157.19,325,0
APPL,282.39,75,0
APPL,282.23,125,1
ZM,156.38,175,0
ZM,159.54,0,1
AMZN,2375.21,50,0
APPL,278.19,325,1
ZM,161.77,250,1
AMZN,2358.37,250,1
ZM,162.26,250,1
AMZN,2366.63,300,0
ZM,161.24,250,0
ZM,155.66,325,1
ZM,161.38,325,1
AMZN,2352.44,200,1
AMZN,2371.18,100,0
ZM,156.48,200,1
ZM,159.51,300,1
AMZN,2347.56,550,0
AMZN,2339.7,450,0
APPL,279.33,175,1
AMZN,2413.5,700,1
ZM,157.86,375,0
ZM,163.6,400,0
APPL,284.14,175,1
APPL,278.74,425,0
APPL,280.6,300,0
APPL,284.75,325,1
APPL,286.92,400,0
ZM,158.23,350,1
AMZN,2391.98,550,1
APPL,284.82,125,0
AMZN,2398.0,50,0
APPL,278.33,375,1
AMZN,2406.66,100,0
ZM,162.09,325,0
ZM,156.21,275,1
ZM,155.95,150,0
APPL,287.54,350,0
AMZN,2399.32,0,1
AMZN,2405.05,200,1
AMZN,2402.38,750,1
AMZN,2354.8,550,0
APPL,285.56,50,1
ZM,156.61,375,1
ZM,163.56,350,0
ZM,157.71,0,0
ZM,163.55,450,1
AMZN,2392.12,500,0
ZM,157.59,200,1
ZM,159.9,225,0
APPL,278.09,50,0
AMZN,2361.02,450,0
AMZN,2353.62,550,1
AMZN,2355.4,950,0
AMZN,2339.36,550,0
AMZN,2411.28,500,1
APPL,279.64,425,0
ZM,162.31,75,1
APPL,283.52,175,0
AMZN,2374.63,850,1
ZM,159.55,400,1
APPL,284.84,150,1
AMZN,2365.19,150,0
ZM,163.34,175,1
APPL,287.54,400,0
AMZN,2363.54,250,1
AMZN,2365.02,100,0
APPL,286.43,125,0
APPL,285.41,200,0
APPL,281.69,25,0
AMZN,2403.5,250,0
AMZN,2403.42,200,1
ZM,157.31,75,0
ZM,155.89,275,1
AMZN,2385.18,750,0
APPL,279.56,225,0
APPL,283.57,275,0
AMZN,2377.01,550,0
AMZN,2374.63,800,1
ZM,157.61,425,1
APPL,278.89,475,1
ZM,158.07,175,1
APPL,277.9,225,0
AMZN,2353.0,650,0
ZM,161.97,450,1
ZM,164.36,75,1
APPL,285.3,450,0
APPL,279.88,150,0
AMZN,2406.65,450,0
ZM,156.11,50,1
APPL,279.76,475,1
ZM,158.46,25,1
ZM,155.68,250,0
ZM,161.24,475,1
AMZN,2396.67,700,0
ZM,160.72,75,1
ZM,159.2,275,0
ZM,157.27,350,0
ZM,162.11,275,1
ZM,155.95,75,1
AMZN,2411.0,450,0
ZM,157.25,375,1
AMZN,2348.32,150,0
APPL,284.62,375,1
AMZN,2352.47,250,0
APPL,285.45,175,1
AMZN,2336.48,0,0
AMZN,2412.66,150,0
ZM,162.68,325,1
AMZN,2385.24,150,0
ZM,162.95,225,0
ZM,158.02,425,1
AMZN,2354.65,100,1
APPL,277.92,325,0
ZM,163.97,425,0
AMZN,2402.39,700,0
AMZN,2404.85,750,0
APPL,283.66,400,1
AMZN,2403.01,50,0
AMZN,2410.13,450,0
AMZN,2364.19,700,1
ZM,158.36,175,0
AMZN,2336.51,900,0
APPL,282.25,475,1
APPL,278.01,350,0
ZM,160.82,450,0
ZM,157.51,375,0
AMZN,2351.46,550,0
ZM,161.27,75,0
ZM,163.38,250,0
APPL,286.9,400,0
APPL,280.28,200,1
ZM,155.78,450,0
ZM,156.48,400,0
APPL,282.93,0,1
AMZN,2409.57,700,1
ZM,160.54,25,1
ZM,164.39,150,0
ZM,156.82,325,1
AMZN,2383.94,700,0
ZM,164.44,0,0
AMZN,2404.7,100,1
ZM,160.68,225,0
ZM,156.68,350,1
AMZN,2408.97,200,0
AMZN,2359.29,550,0
AMZN,2385.78,550,0
APPL,281.18,300,0
ZM,156.74,125,1
AMZN,2408.9,450,1
AMZN,2376.98,200,1
ZM,162.95,150,0
ZM,159.58,375,0
APPL,281.81,125,0
APPL,285.25,175,1
AMZN,2385.43,150,0
AMZN,2373.38,650,0
ZM,157.61,250,0
APPL,282.74,100,0
ZM,164.27,150,0
AMZN,2337.15,200,0
ZM,160.06,200,0
APPL,280.19,100,0
ZM,157.77,25,0
APPL,283.56,475,0
AMZN,2355.61,350,1
APPL,287.34,475,0
ZM,160.03,25,0
ZM,156.32,400,1
AMZN,2336.01,400,1
APPL,284.92,75,0
ZM,156.86,125,0
ZM,157.7,100,1
AMZN,2357.63,0,0
AMZN,2369.14,450,0
ZM,158.31,0,0
AMZN,2399.16,50,0
AMZN,2363.37,250,1
ZM,156.84,150,0
AMZN,2395.27,600,1
APPL,286.46,425,1
AMZN,2375.22,750,1
ZM,159.14,275,1
AMZN,2349.62,600,0
AMZN,2365.22,400,0
AMZN,2408.7,400,0
AMZN,2407.55,150,0
ZM,163.19,50,1
AMZN,2370.85,700,1
APPL,280.9,100,0
APPL,279.29,150,1
ZM,164.13,300,0
AMZN,2400.51,500,0
ZM,157.82,200,0
ZM,160.13,375,0
AMZN,2340.5,50,0
AMZN,2387.36,950,1
AMZN,2405.32,250,0
AMZN,2339.49,0,1
ZM,164.5,400,1
APPL,279.63,225,0
AMZN,2390.31,50,1
AMZN,2398.07,100,1
APPL,285.63,300,1
APPL,286.21,425,1
ZM,164.39,350,0
APPL,284.26,375,1
AMZN,2372.92,900,1
APPL,287.22,150,0
AMZN,2339.61,800,0
APPL,282.21,475,0
APPL,281.22,225,0
APPL,278.62,175,0
ZM,159.2,50,1
APPL,280.36,450,0
APPL,282.46,25,1
AMZN,2400.5,450,0
APPL,287.27,0,0
ZM,157.49,350,1
AMZN,2376.26,150,0
AMZN,2411.36,550,0
AMZN,2357.64,400,0
ZM,161.51,350,0
ZM,155.81,300,0
APPL,286.89,450,1
ZM,162.15,250,0
APPL,281.35,475,0
AMZN,2347.43,400,0
ZM,161.4,375,1
APPL,286.65,450,0
ZM,155.65,450,1
ZM,158.61,275,1
AMZN,2377.87,200,1
ZM,159.18,325,0
ZM,161.45,325,0
AMZN,2341.65,0,0
AMZN,2356.65,500,0
AMZN,2398.6,800,1
APPL,284.27,400,1
APPL,286.45,150,1
AMZN,2368.87,500,1
APPL,280.93,450,1
ZM,163.74,25,1
APPL,286.64,300,1
ZM,162.52,275,1
APPL,279.83,25,0
AMZN,2358.38,700,0
APPL,282.01,375,1
AMZN,2342.62,750,1
ZM,156.7,25,1
APPL,278.67,350,1
AMZN,2351.19,150,1
AMZN,2396.17,500,1
AMZN,2365.52,450,1
AMZN,2401.38,900,0
ZM,164.15,175,0
ZM,155.81,375,0
APPL,286.79,250,1
AMZN,2357.67,650,1
APPL,283.6,175,1
APPL,278.03,75,0
APPL,287.43,325,1
ZM,162.73,275,1
ZM,161.92,250,0
ZM,156.37,125,0
AMZN,2383.93,400,0
AMZN,2411.16,450,1
ZM,164.11,0,0
AMZN,2348.53,0,1
AMZN,2393.24,900,0
APPL,282.51,25,1
AMZN,2379.14,700,0
AMZN,2347.57,50,1
APPL,287.03,125,1
APPL,281.71,25,0
ZM,156.89,300,0
APPL,279.31,100,0
APPL,280.03,250,0
APPL,285.53,425,1
ZM,156.67,375,1
ZM,156.19,325,0
AMZN,2352.59,400,0
AMZN,2402.1,700,1
APPL,286.95,425,0
AMZN,2365.19,600,1
APPL,285.53,400,0
APPL,286.87,475,0
APPL,281.38,450,1
AMZN,2395.97,850,0
AMZN,2365.41,650,1
APPL,279.59,275,1
ZM,156.99,450,1
AMZN,2349.61,550,0
APPL,284.94,275,0
APPL,283.27,150,0
APPL,281.75,100,0
APPL,286.29,225,0
ZM,158.46,475,0
ZM,156.87,225,0
APPL,281.59,325,1
APPL,284.8,475,1
ZM,159.82,275,1
AMZN,2343.81,600,1
APPL,284.91,175,1
AMZN,2400.14,750,1
APPL,282.12,100,1
APPL,283.84,175,0
AMZN,2379.24,450,1
APPL,277.88,275,1
APPL,287.36,50,1
APPL,286.22,100,1
ZM,155.76,425,1
APPL,280.86,300,0
AMZN,2414.42,550,0
ZM,164.5,300,1
ZM,158.49,225,1
APPL,286.44,325,0
ZM,162.44,100,1
ZM,164.41,150,1
APPL,278.02,475,0
APPL,278.05,325,1
APPL,285.61,325,0
ZM,162.79,25,0
APPL,279.85,275,0
APPL,278.07,75,0
AMZN,2347.39,400,1
APPL,287.59,75,1
ZM,162.52,375,1
ZM,162.91,475,1
APPL,283.63,25,1
ZM,155.82,250,1
ZM,157.48,50,0
ZM,156.03,275,1
ZM,156.0,0,1
AMZN,2360.98,150,1
ZM,162.14,50,1
ZM,156.45,25,1
APPL,281.99,75,1
APPL,283.99,50,1
AMZN,2348.3,800,0
APPL,287.33,400,0
APPL,281.55,0,0
APPL,284.17,100,0
AMZN,2368.76,250,1
AMZN,2377.86,900,0
APPL,283.08,400,0
ZM,158.79,0,1
APPL,285.5,300,0
AMZN,2396.47,0,0
APPL,279.26,375,1
APPL,281.18,325,0
AMZN,2336.95,950,0
AMZN,2357.75,300,1
APPL,284.06,0,1
ZM,157.21,50,1
AMZN,2360.57,600,1
ZM,158.97,450,1
APPL,284.94,375,0
ZM,156.66,25,0
ZM,162.02,125,1
APPL,285.86,275,1
ZM,161.26,50,1
APPL,283.29,175,0
ZM,163.93,100,0
AMZN,2370.34,550,0
AMZN,2352.16,650,1
ZM,164.13,400,1
ZM,161.58,425,1
APPL,277.85,150,0
ZM,161.26,475,0
APPL,285.8,450,1
ZM,155.76,400,0
ZM,161.41,375,1
APPL,281.95,350,0
APPL,287.33,175,1
APPL,285.05,375,1
AMZN,2375.34,450,0
AMZN,2391.04,100,1
ZM,162.26,475,0
AMZN,2341.05,250,1
APPL,286.73,75,1
AMZN,2369.18,150,0
ZM,164.44,250,1
ZM,156.37,150,0
APPL,278.82,400,0
AMZN,2409.85,850,1
AMZN,2365.26,750,0
ZM,163.06,225,0
ZM,159.2,125,1
ZM,155.65,125,0
APPL,284.6,50,0
ZM,156.95,100,1
AMZN,2345.03,500,1
ZM,164.49,250,1
AMZN,2414.49,50,1
APPL,281.63,450,0
AMZN,2358.72,250,1
APPL,284.35,25,0
APPL,285.57,225,1
APPL,284.22,25,0
AMZN,2367.88,900,1
APPL,285.8,350,0
ZM,158.56,100,0
AMZN,2414.64,300,1
ZM,163.72,400,0
APPL,278.08,325,1
APPL,286.15,450,0
APPL,284.27,275,1
AMZN,2386.24,600,1
ZM,164.35,325,1
AMZN,2353.43,50,0
ZM,161.4,425,1
AMZN,2339.17,800,0
ZM,156.9,200,1
ZM,160.86,175,1
AMZN,2385.2,200,0
APPL,278.08,475,0
AMZN,2413.14,800,0
AMZN,2351.86,600,0
APPL,277.83,400,0
APPL,278.67,200,0
AMZN,2402.01,250,1
AMZN,2377.91,850,1
ZM,158.61,350,1
APPL,284.52,475,0
ZM,162.94,325,1
ZM,161.08,475,1
APPL,285.98,0,0
AMZN,2406.43,750,0
APPL,281.76,125,1
ZM,155.68,400,1
AMZN,2343.37,700,1
ZM,162.19,50,1
ZM,163.82,50,1
ZM,157.92,0,0
ZM,158.09,325,0
APPL,286.6,350,1
APPL,286.3,300,1
ZM,163.57,150,1
APPL,283.38,125,0
APPL,284.13,400,1
APPL,279.77,325,1
ZM,160.04,125,0
APPL,278.48,175,1
AMZN,2336.52,0,1
APPL,282.67,475,1
APPL,286.78,450,1
APPL,279.2,125,1
ZM,157.47,0,0
AMZN,2414.42,850,0
APPL,286.46,175,0
APPL,281.21,100,1
APPL,285.36,275,1
APPL,282.17,225,0
ZM,159.71,50,1
AMZN,2387.08,400,1
APPL,279.4,350,1
AMZN,2351.8,350,1
ZM,158.54,50,1
APPL,286.7,175,0
APPL,278.01,325,1
APPL,278.17,400,1
ZM,159.92,375,0
ZM,164.5,475,0
AMZN,2368.64,600,1
AMZN,2346.24,650,0
AMZN,2359.98,650,0
ZM,161.35,125,0
APPL,283.04,450,0
ZM,163.55,100,0
APPL,281.56,225,1
ZM,164.55,425,1
AMZN,2399.85,200,1
ZM,161.48,375,0
ZM,160.71,100,0
AMZN,2402.11,550,0
AMZN,2343.88,500,0
ZM,160.51,0,0
AMZN,2398.36,250,0
AMZN,2386.55,450,0
APPL,284.95,250,1
ZM,160.73,100,1
AMZN,2358.8,350,1
APPL,277.86,350,0
ZM,162.86,50,1
AMZN,2343.85,350,1
AMZN,2335.58,450,1
APPL,283.48,350,0
APPL,287.09,375,0
ZM,156.62,225,0
ZM,163.68,25,1
APPL,282.5,350,0
APPL,279.8,325,1
APPL,281.64,175,0
APPL,284.78,100,1
APPL,279.71,150,0
AMZN,2363.42,150,0
APPL,279.7,125,0
ZM,164.36,400,1
AMZN,2347.09,350,0
AMZN,2357.75,600,1
ZM,159.48,425,0
ZM,161.69,25,0
AMZN,2375.92,500,0
APPL,282.56,400,1
APPL,286.31,225,0
ZM,159.25,25,0
ZM,159.72,50,0
AMZN,2393.28,0,0
ZM,164.02,75,1
AMZN,2375.36,900,1
APPL,280.68,200,1
ZM,158.5,25,1
ZM,158.93,50,0
APPL,281.22,450,1
ZM,162.47,200,0
ZM,158.22,200,1
AMZN,2409.03,950,0
APPL,281.13,450,0
AMZN,2381.16,0,0
AMZN,2340.13,350,1
ZM,163.33,225,1
ZM,162.1,425,1
APPL,284.21,325,1
ZM,163.77,125,1
APPL,285.75,450,0
AMZN,2364.47,850,0
AMZN,2407.54,500,1
AMZN,2407.23,400,0
AMZN,2354.19,450,1
ZM,157.16,0,0
APPL,284.12,375,0
AMZN,2395.25,400,1
APPL,284.04,50,1
AMZN,2345.0,200,0
APPL,279.98,350,1
AMZN,2411.66,200,1
AMZN,2368.64,250,0
APPL,287.62,125,1
ZM,161.87,300,0
ZM,158.37,0,0
ZM,162.39,475,0
AMZN,2351.9,600,0
APPL,282.22,325,0
ZM,161.77,450,1
AMZN,2365.86,250,1
APPL,286.98,200,0
ZM,163.92,150,1
AMZN,2366.31,700,0
AMZN,2357.12,700,0
APPL,287.0,125,1
ZM,163.94,50,1
APPL,283.57,325,0
ZM,158.77,125,0
ZM,163.6,50,1
AMZN,2344.0,650,0
ZM,162.38,75,0
APPL,285.11,425,0
AMZN,2403.72,650,1
APPL,286.91,250,0
ZM,162.22,325,0
ZM,159.36,150,1
APPL,284.62,350,0
ZM,161.14,475,0
APPL,285.32,125,1
AMZN,2355.39,600,1
APPL,280.58,200,1
AMZN,2408.97,350,1
APPL,279.14,425,0
AMZN,2335.68,100,1
AMZN,2383.94,750,1
AMZN,2385.55,750,0
ZM,164.24,175,1
AMZN,2369.71,850,0
ZM,161.38,250,1
AMZN,2337.05,900,1
APPL,282.86,275,0
AMZN,2395.34,150,1
ZM,156.22,450,0
AMZN,2347.96,150,0
AMZN,2343.66,800,1
APPL,281.66,300,1
ZM,157.97,50,0
APPL,284.43,0,0
APPL,285.17,25,0
ZM,160.48,200,1
AMZN,2348.96,150,0
APPL,280.5,350,0
AMZN,2410.18,50,0
APPL,287.33,175,0
ZM,161.29,75,1
ZM,161.74,400,1
AMZN,2388.7,250,0
ZM,163.19,150,0
ZM,162.97,225,1
APPL,283.77,125,1
ZM,160.94,100,1
APPL,284.17,75,0
ZM,161.16,275,0
APPL,279.86,50,1
APPL,282.58,150,0
APPL,286.6,100,0
APPL,282.64,200,0
ZM,162.58,125,1
APPL,287.36,125,1
APPL,287.28,200,1
APPL,279.68,350,0
